"vars_manip_1","vars_manip_2","vars_manip","distrib","phage_disp","Cell_population","Cell2_population","relativecA","relativeI","cA","irate","relativeR","relativeChi","Chi","relativecR","cR","relativeY","Y","relativeb","b","Cell2_Cell1"
"I","cR","I_vs_cR","global","0",110480000,1.2705e+11,NA,10,NA,1e-14,0.1,NA,NA,2.25,2.25e-14,NA,NA,NA,NA,1149.98189717596
"I","cR","I_vs_cR","global","0",8.9841e+11,74870000,NA,10,NA,1e-14,0.1,NA,NA,0.44,2.25e-14,NA,NA,NA,NA,8.33361160272036e-05
"I","cR","I_vs_cR","global","0",8.9323e+11,2150700000,NA,1,NA,1e-14,1,NA,NA,0.67,2.25e-14,NA,NA,NA,NA,0.00240777851169352
"I","cR","I_vs_cR","global","0",4.4701e+11,4.4701e+11,NA,1,NA,1e-14,1,NA,NA,1,2.25e-14,NA,NA,NA,NA,1
"I","cR","I_vs_cR","global","0",224300000,1.1263e+12,NA,1,NA,1e-14,1,NA,NA,1.5,2.25e-14,NA,NA,NA,NA,5021.3999108337
"I","cR","I_vs_cR","global","0",111210000,1.413e+12,NA,1,NA,1e-14,1,NA,NA,2.25,2.25e-14,NA,NA,NA,NA,12705.6919341786
"I","cR","I_vs_cR","global","0",8.9516e+11,143490000,NA,1,NA,1e-14,1,NA,NA,0.44,2.25e-14,NA,NA,NA,NA,0.000160295366191519
"I","cR","I_vs_cR","global","0",8.9417e+11,6958200000,NA,0.1,NA,1e-14,10,NA,NA,0.67,2.25e-14,NA,NA,NA,NA,0.00778174172696467
"I","cR","I_vs_cR","global","0",7.6614e+11,1.6691e+12,NA,0.1,NA,1e-14,10,NA,NA,1,2.25e-14,NA,NA,NA,NA,2.17858354869867
"I","cR","I_vs_cR","global","0",949290000,1.2452e+13,NA,0.1,NA,1e-14,10,NA,NA,1.5,2.25e-14,NA,NA,NA,NA,13117.1717810153
"I","cR","I_vs_cR","global","0",114300000,1.5577e+13,NA,0.1,NA,1e-14,10,NA,NA,2.25,2.25e-14,NA,NA,NA,NA,136281.714785652
"I","cR","I_vs_cR","global","0",8.9451e+11,938810000,NA,0.1,NA,1e-14,10,NA,NA,0.44,2.25e-14,NA,NA,NA,NA,0.00104952432057775
"I","cR","I_vs_cR","global","0",8.9446e+11,4.8253e+12,NA,0.01,NA,1e-14,100,NA,NA,0.67,2.25e-14,NA,NA,NA,NA,5.39465152158844
"I","cR","I_vs_cR","global","0",8.6519e+11,1.3797e+13,NA,0.01,NA,1e-14,100,NA,NA,1,2.25e-14,NA,NA,NA,NA,15.9467862550422
"I","cR","I_vs_cR","global","0",7080300000,1.369e+14,NA,0.01,NA,1e-14,100,NA,NA,1.5,2.25e-14,NA,NA,NA,NA,19335.3388980693
"I","cR","I_vs_cR","global","0",92394000,1.7083e+14,NA,0.01,NA,1e-14,100,NA,NA,2.25,2.25e-14,NA,NA,NA,NA,1848929.58417213
"I","cR","I_vs_cR","global","0",8.9446e+11,1.8081e+12,NA,0.01,NA,1e-14,100,NA,NA,0.44,2.25e-14,NA,NA,NA,NA,2.0214431053373
"I","Y","I_vs_Y","global","0",4.5489e+11,3731400000,NA,100,NA,1e-14,0.01,NA,NA,NA,NA,0.84,1.229e+10,NA,NA,0.00820286223042934
"I","Y","I_vs_Y","global","0",1.6007e+11,6732600000,NA,100,NA,1e-14,0.01,NA,NA,NA,NA,1,1.229e+10,NA,NA,0.0420603485974886
"I","Y","I_vs_Y","global","0",9.4842e+10,7855500000,NA,100,NA,1e-14,0.01,NA,NA,NA,NA,1.19,1.229e+10,NA,NA,0.0828272284430948
